File Name,Earliest Time,Latest Time
76ers.csv,2023-04-12 23:00:02,2023-04-21 23:05:39
Bucks.csv,2023-04-13 01:50:20,2023-04-21 23:47:02
Cavaliers.csv,2023-04-12 23:22:05,2023-04-21 23:52:00
Celtics.csv,2023-04-15 19:46:26,2023-04-21 23:59:12
Clippers.csv,2023-04-12 23:57:45,2023-04-21 23:59:00
Grizzles.csv,2023-04-16 15:29:10,2023-04-21 16:49:40
Hawks.csv,2023-04-13 02:34:11,2023-04-21 23:59:50
Heat.csv,2023-04-13 02:06:48,2023-04-21 23:41:56
Kings.csv,2023-04-13 00:31:07,2023-04-21 23:48:14
Knicks.csv,2023-04-13 02:02:17,2023-04-21 23:59:29
Lakers.csv,2023-04-16 20:18:37,2023-04-21 23:58:18
Nets.csv,2023-04-13 00:05:56,2023-04-21 23:11:35
Nuggets.csv,2023-04-13 00:50:02,2023-04-21 23:52:54
Suns.csv,2023-04-12 23:53:36,2023-04-21 23:59:00
Warriors.csv,2023-04-15 19:13:37,2023-04-21 23:58:45
AtlantaHawks.csv,2023-04-13 01:56:49,2023-04-21 23:52:12
BostonCeltics.csv,2023-04-13 00:12:08,2023-04-21 23:52:58
BrooklynNets.csv,2023-04-12 23:46:41,2023-04-21 23:43:04
ClevelandCavaliers.csv,2023-04-13 01:56:43,2023-04-21 23:21:43
DenverNuggets.csv,2023-04-13 12:11:39,2023-04-21 22:28:45
GoldenStateWarriors.csv,2023-04-13 12:05:13,2023-04-21 23:27:24
LAClippers.csv,2023-04-13 12:19:28,2023-04-21 19:49:04
LosAngelesLakers.csv,2023-04-13 10:14:05,2023-04-21 21:56:29
MemphisGrizzlies.csv,2023-04-13 11:03:13,2023-04-21 21:56:29
MiamiHeat.csv,2023-04-13 01:22:32,2023-04-21 23:09:34
MilwaukeeBucks.csv,2023-04-13 00:01:42,2023-04-21 22:44:04
MinnesotaTimberwolves.csv,2023-04-13 12:10:59,2023-04-21 22:28:45
NewYorkKnicks.csv,2023-04-13 01:36:52,2023-04-21 23:21:43
Philadelphia76ers.csv,2023-04-13 05:38:38,2023-04-21 23:36:24
PhoenixSuns.csv,2023-04-14 01:03:50,2023-04-21 23:47:17
SacramentoKings.csv,2023-04-13 12:05:13,2023-04-21 22:59:12
Timberwolves.csv,2023-04-13 11:53:33,2023-04-21 23:41:21
